date,material,supplier,cost
2023-01-15,Steel,SupplyCenter,9487.74
2023-07-08,Insulation,MaterialMasters,11033.52
2023-01-15,Ceramic,MaterialSource,10800.26
2023-03-11,Gypsum,SupplyCenter,9393.8
2023-07-09,Steel,TheBuildingBlock,9301.51
2023-05-11,Gypsum,MaterialSource,8356.54
2023-01-11,Glass,HomeImprovementHQ,9273.34
2023-09-19,Glass,MaterialMasters,9417.95
2023-12-23,Insulation,TimberlandSupply,9796.58
2023-08-01,Gypsum,HomeImprovementHQ,8701.29
2023-10-23,Gypsum,TimberlandSupply,9495.31
2023-01-18,Gypsum,TimberMart,10499.02
2023-08-06,Glass,MaterialMasters,11380.6
2023-11-08,Glass,TimberlandSupply,11904.4
2023-05-14,Ceramic,TheBuildingBlock,8297.73
2023-03-23,Insulation,HomeImprovementHQ,10527.71
2023-01-13,Gypsum,TheBuildingBlock,10782.91
2023-05-22,Steel,HomeImprovementHQ,10441.61
2023-01-13,Ceramic,TimberlandSupply,11472.18
2023-01-12,Glass,MaterialMasters,9983.65
2023-10-13,Glass,TimberMart,11838.76
2023-03-18,Steel,MaterialMasters,11650.69
2023-03-07,Gypsum,TimberMart,11793.46
2023-10-10,Ceramic,TheBuildingBlock,8951.1
2023-09-14,Steel,SupplyCenter,10271.96
2023-03-18,Gypsum,TimberMart,10446.44
2023-06-09,Gypsum,TheBuildingBlock,8999.62
2023-09-16,Glass,SupplyCenter,11470.32
2023-01-12,Insulation,HomeImprovementHQ,11720.6
2023-07-08,Insulation,TimberlandSupply,11817.63
2023-02-01,Ceramic,TimberMart,11162.45
2023-09-14,Ceramic,TimberlandSupply,11969.9
2023-02-24,Ceramic,TimberMart,11595.23
2023-11-24,Glass,TimberMart,10181.15
2023-06-14,Steel,SupplyCenter,11978.25
2023-05-02,Insulation,TimberlandSupply,8870.44
2023-03-09,Steel,SupplyCenter,9477.35
2023-02-22,Gypsum,SupplyCenter,11694.57
2023-06-08,Gypsum,SupplyCenter,9539.0
2023-02-21,Glass,MaterialSource,10243.95
2023-09-01,Glass,SupplyCenter,11859.11
2023-05-21,Steel,TheBuildingBlock,10641.56
