date,material,supplier,cost
2023-09-07,Concrete,MaterialMasters,10452.75
2023-12-24,Ceramic,ConstructionDepot,10855.8
2023-02-06,Wood,TimberlandSupply,11885.39
2023-01-11,Concrete,ConstructionDepot,11928.42
2023-11-07,Steel,TimberlandSupply,9750.01
2023-03-21,Glass,MaterialMasters,10694.89
2023-06-05,Steel,MaterialSource,11641.25
2023-07-22,Glass,MaterialSource,11185.61
2023-07-03,Wood,MaterialMasters,9685.29
2023-09-20,Wood,TimberlandSupply,9177.64
2023-07-01,Wood,MaterialSource,10727.85
2023-01-23,Ceramic,SupplySolutions,10084.06
2023-09-22,Steel,TimberlandSupply,11400.71
2023-07-17,Glass,ConstructionDepot,10239.31
2023-07-04,Concrete,TimberlandSupply,11379.02
2023-03-17,Concrete,SupplySolutions,8136.07
2023-01-22,Glass,ConstructionDepot,9238.64
2023-07-22,Concrete,TimberlandSupply,9853.3
2023-11-06,Wood,ConstructionDepot,11792.66
2023-04-21,Ceramic,MaterialSource,10174.27
2023-05-19,Ceramic,TimberlandSupply,11875.9
2023-06-02,Ceramic,ConstructionDepot,10465.9
2023-07-14,Concrete,TimberlandSupply,10257.12
2023-12-21,Ceramic,TimberlandSupply,9637.05
2023-04-18,Steel,BuildSmart,11401.7
2023-06-23,Concrete,TimberlandSupply,11926.85
2023-06-22,Ceramic,LumberYardInc,10198.54
2023-12-25,Concrete,TimberlandSupply,11684.87
2023-12-13,Ceramic,LumberYardInc,9350.28
2023-12-15,Steel,MaterialMasters,11127.95
2023-08-20,Concrete,SupplySolutions,9470.25
2023-10-14,Concrete,MaterialSource,11677.95
2023-08-22,Wood,MaterialMasters,8014.54
2023-01-12,Ceramic,MaterialSource,8256.32
2023-03-24,Glass,MaterialSource,10354.76
2023-02-13,Wood,MaterialSource,10653.41
2023-11-23,Glass,BuildSmart,8379.35
2023-01-23,Steel,TimberlandSupply,9956.89
2023-02-03,Steel,TimberlandSupply,10065.07
2023-03-17,Ceramic,MaterialMasters,11165.56
2023-01-17,Wood,MaterialSource,9927.56
2023-09-22,Concrete,ConstructionDepot,8059.15
2023-07-17,Wood,TimberlandSupply,9835.9
2023-05-16,Concrete,TimberlandSupply,10044.44
2023-07-22,Concrete,MaterialSource,9874.05
2023-03-01,Steel,MaterialSource,9355.29
2023-07-07,Ceramic,SupplySolutions,10369.56
2023-01-19,Ceramic,TimberlandSupply,11221.69
2023-06-03,Steel,BuildSmart,11210.28
2023-01-22,Wood,TimberlandSupply,8675.14
2023-02-08,Wood,TimberlandSupply,10227.22
2023-04-06,Concrete,TimberlandSupply,8007.89
2023-02-04,Wood,TimberlandSupply,10402.44
2023-06-09,Wood,MaterialMasters,11901.27
2023-09-09,Glass,LumberYardInc,10379.62
2023-08-13,Concrete,ConstructionDepot,8478.43
2023-06-17,Wood,MaterialSource,10756.66
2023-10-08,Wood,MaterialSource,9727.06
2023-07-04,Ceramic,MaterialMasters,11914.64
2023-06-06,Glass,BuildSmart,11206.12
2023-11-01,Concrete,SupplySolutions,8535.23
2023-09-21,Steel,ConstructionDepot,9685.46
2023-04-24,Glass,MaterialSource,9001.82
2023-02-23,Concrete,TimberlandSupply,10043.85
2023-08-05,Steel,MaterialMasters,8845.24
2023-09-04,Concrete,BuildSmart,10987.71
2023-01-02,Wood,LumberYardInc,9133.76
2023-07-13,Concrete,LumberYardInc,11628.65
2023-09-16,Wood,ConstructionDepot,11286.93
2023-05-02,Wood,BuildSmart,8755.87
2023-12-21,Concrete,MaterialMasters,9745.38
2023-12-08,Concrete,BuildSmart,10822.68
2023-09-11,Ceramic,BuildSmart,9438.07
2023-04-14,Glass,MaterialMasters,9220.61
2023-10-11,Concrete,LumberYardInc,8603.77
2023-01-23,Concrete,SupplySolutions,8581.78
2023-04-12,Concrete,BuildSmart,10847.67
2023-12-09,Steel,ConstructionDepot,8889.7
2023-08-06,Wood,MaterialMasters,8335.54
2023-04-21,Ceramic,BuildSmart,8160.4
2023-12-01,Concrete,MaterialSource,9926.61
2023-06-18,Glass,MaterialMasters,8840.42
2023-10-17,Glass,TimberlandSupply,9382.07
2023-12-18,Glass,LumberYardInc,10243.0
2023-04-09,Concrete,BuildSmart,8930.98
2023-12-14,Concrete,SupplySolutions,9585.84
2023-03-24,Ceramic,SupplySolutions,8987.76
2023-11-13,Steel,LumberYardInc,10860.45
2023-11-01,Glass,SupplySolutions,11306.12
2023-08-18,Concrete,TimberlandSupply,8836.53
2023-05-25,Steel,MaterialSource,9186.52
2023-02-17,Ceramic,TimberlandSupply,10711.3
2023-05-13,Steel,SupplySolutions,8321.2
2023-05-20,Glass,BuildSmart,8839.88
2023-04-15,Wood,SupplySolutions,8734.07
2023-05-15,Wood,TimberlandSupply,9617.45
2023-05-02,Concrete,ConstructionDepot,9788.97
2023-04-16,Concrete,LumberYardInc,8705.29
2023-07-01,Ceramic,BuildSmart,10321.45
2023-06-12,Ceramic,MaterialSource,10338.04
2023-04-25,Glass,MaterialSource,8286.63
2023-10-20,Steel,MaterialMasters,10060.55
2023-11-11,Ceramic,MaterialMasters,9955.62
2023-02-14,Wood,SupplySolutions,8243.29
2023-08-24,Steel,BuildSmart,8525.93
2023-02-12,Glass,ConstructionDepot,11357.36
2023-07-11,Wood,MaterialMasters,8825.38
2023-10-13,Concrete,TimberlandSupply,11560.34
2023-07-07,Ceramic,TimberlandSupply,11794.55
2023-10-20,Wood,BuildSmart,11253.36
2023-09-13,Steel,MaterialSource,11214.54
2023-07-10,Steel,LumberYardInc,8232.19
2023-10-11,Concrete,TimberlandSupply,9872.53
2023-02-18,Steel,MaterialMasters,11920.88
2023-12-22,Concrete,SupplySolutions,10707.16
2023-03-10,Concrete,MaterialMasters,9546.25
2023-01-16,Ceramic,LumberYardInc,9141.24
