date,material,supplier,cost
2023-05-18,Ceramic,HomeImprovementHQ,9873.52
2023-04-24,Brick,HomeImprovementHQ,8423.17
2023-04-08,Glass,BuildSmart,9082.62
2023-12-18,Ceramic,TheBuildingBlock,10740.53
2023-08-11,Brick,TimberMart,9040.06
2023-08-22,Brick,BuildSmart,9194.99
2023-08-09,Steel,BuildSmart,9159.93
2023-07-10,Glass,HomeDepotPro,9951.27
2023-05-17,Steel,ConstructionSupply,11121.69
2023-07-10,Ceramic,BuildSmart,9364.59
2023-02-03,Ceramic,BuildSmart,11307.46
2023-07-21,Glass,TheBuildingBlock,10901.66
2023-04-05,Steel,TimberMart,11133.22
2023-09-15,Glass,TimberMart,9084.51
2023-05-23,Gypsum,HomeDepotPro,11315.19
2023-03-13,Glass,HomeImprovementHQ,11948.57
2023-02-04,Ceramic,HomeDepotPro,11187.25
2023-10-16,Glass,ConstructionSupply,9673.3
2023-07-01,Glass,ConstructionSupply,11624.91
2023-08-12,Brick,HomeDepotPro,10875.62
2023-07-19,Steel,TimberMart,10262.87
2023-04-21,Brick,TimberMart,8999.03
2023-03-10,Brick,HomeDepotPro,10213.42
2023-05-08,Ceramic,ConstructionSupply,9784.02
2023-10-13,Gypsum,TimberlandSupply,9022.46
2023-08-24,Ceramic,ConstructionSupply,8951.82
2023-04-17,Gypsum,BuildSmart,9229.42
2023-07-10,Steel,BuildSmart,11962.07
2023-07-04,Ceramic,HomeDepotPro,8446.49
2023-01-11,Gypsum,TimberMart,9243.97
2023-01-12,Brick,HomeImprovementHQ,9376.99
2023-10-15,Gypsum,ConstructionSupply,8103.33
2023-03-23,Ceramic,TimberMart,9050.4
2023-06-10,Ceramic,TheBuildingBlock,8533.49
2023-07-13,Steel,BuildSmart,8604.32
2023-10-12,Gypsum,HomeImprovementHQ,9225.56
2023-08-18,Steel,BuildSmart,8373.67
2023-10-02,Brick,HomeDepotPro,9909.14
2023-07-01,Gypsum,ConstructionSupply,9831.39
2023-04-15,Brick,TheBuildingBlock,8197.74
2023-08-23,Brick,TheBuildingBlock,11859.22
2023-02-12,Glass,HomeImprovementHQ,8825.61
2023-06-24,Brick,BuildSmart,9952.4
2023-02-24,Ceramic,ConstructionSupply,10197.15
2023-12-03,Steel,HomeDepotPro,11385.37
2023-11-12,Ceramic,TimberMart,11540.38
2023-08-01,Ceramic,HomeImprovementHQ,10473.48
2023-01-18,Brick,TimberlandSupply,8866.16
