date,material,supplier,cost
2023-05-06,Asbestos,MaterialSource,8012.65
2023-06-05,Ceramic,TheBuildingBlock,8612.18
2023-03-09,Steel,BuildSmart,9007.66
2023-07-25,Ceramic,BuildCo,11435.64
2023-04-22,Wood,ConstructionSupply,11908.87
2023-07-24,Asbestos,HomeImprovementHQ,11612.55
2023-03-19,Steel,HomeImprovementHQ,10439.99
2023-02-07,Asbestos,BuildSmart,8334.36
2023-06-02,Asbestos,HomeImprovementHQ,9630.79
2023-08-01,Ceramic,MaterialMasters,8309.91
2023-09-24,Wood,ConstructionSupply,9593.26
2023-10-24,Wood,BuildSmart,8675.74
2023-12-17,Asbestos,TheBuildingBlock,11678.39
2023-09-17,Steel,HomeImprovementHQ,11874.34
2023-12-24,Ceramic,BuildCo,8426.6
2023-02-25,Concrete,BuildSmart,11982.13
2023-10-10,Steel,TheBuildingBlock,11268.86
2023-03-15,Ceramic,BuildSmart,10727.87
2023-03-15,Wood,BuildCo,8761.11
2023-04-11,Ceramic,MaterialSource,11399.94
2023-03-08,Ceramic,MaterialSource,11652.53
2023-04-22,Asbestos,BuildSmart,8519.66
2023-11-20,Ceramic,HomeImprovementHQ,8467.19
2023-03-09,Ceramic,HomeImprovementHQ,11413.8
2023-11-11,Asbestos,BuildSmart,10342.9
2023-11-23,Asbestos,ConstructionSupply,10070.78
2023-01-12,Steel,BuildCo,10678.22
2023-04-07,Asbestos,ConstructionSupply,9886.35
2023-08-19,Asbestos,BuildCo,8583.24
2023-10-13,Asbestos,ConstructionSupply,9458.47
2023-07-06,Ceramic,BuildCo,8004.97
2023-03-10,Wood,MaterialSource,8674.29
2023-07-22,Steel,MaterialMasters,11445.82
2023-08-05,Asbestos,MaterialSource,11190.19
2023-08-11,Wood,BuildSmart,9810.13
2023-06-09,Ceramic,HomeImprovementHQ,8054.86
2023-03-19,Asbestos,MaterialSource,8240.59
2023-03-03,Ceramic,ConstructionSupply,8572.81
2023-05-07,Ceramic,HomeImprovementHQ,8548.4
2023-03-20,Concrete,MaterialSource,11450.02
2023-10-10,Asbestos,MaterialSource,8362.04
2023-03-11,Asbestos,TheBuildingBlock,9008.1
2023-10-02,Steel,MaterialSource,10100.63
2023-04-25,Ceramic,HomeImprovementHQ,8066.31
2023-12-15,Wood,MaterialMasters,9783.59
2023-03-15,Ceramic,BuildCo,11480.69
2023-03-08,Asbestos,MaterialMasters,10172.65
2023-03-13,Asbestos,TheBuildingBlock,8739.5
2023-04-23,Ceramic,BuildCo,11215.8
2023-03-21,Steel,ConstructionSupply,11889.41
2023-11-17,Asbestos,ConstructionSupply,9106.85
2023-11-08,Asbestos,MaterialSource,11257.98
2023-03-09,Concrete,HomeImprovementHQ,10232.93
2023-03-17,Steel,HomeImprovementHQ,8284.95
2023-04-10,Asbestos,BuildCo,9339.26
2023-02-15,Asbestos,MaterialMasters,11510.95
2023-08-10,Steel,MaterialSource,10500.8
2023-11-13,Wood,MaterialMasters,11555.45
2023-05-12,Steel,HomeImprovementHQ,8852.02
2023-05-22,Ceramic,HomeImprovementHQ,9773.62
2023-05-11,Ceramic,ConstructionSupply,11720.05
2023-01-03,Ceramic,ConstructionSupply,11072.22
2023-06-25,Concrete,ConstructionSupply,8708.37
2023-03-05,Steel,MaterialMasters,11487.87
2023-01-05,Steel,MaterialMasters,8768.09
2023-03-25,Steel,BuildCo,9326.87
2023-03-22,Asbestos,ConstructionSupply,10841.07
2023-07-01,Asbestos,BuildCo,8514.22
2023-04-22,Steel,TheBuildingBlock,10517.06
2023-07-19,Wood,HomeImprovementHQ,10891.8
2023-10-18,Wood,HomeImprovementHQ,8652.5
2023-08-18,Ceramic,ConstructionSupply,10847.93
2023-04-03,Wood,MaterialSource,9608.44
2023-11-08,Wood,BuildCo,8555.81
2023-10-03,Asbestos,MaterialMasters,9930.07
2023-07-25,Ceramic,MaterialMasters,11179.11
2023-07-06,Steel,HomeImprovementHQ,11212.04
2023-06-24,Concrete,HomeImprovementHQ,8491.38
2023-11-05,Steel,MaterialMasters,8679.23
2023-06-24,Steel,BuildSmart,10217.37
2023-08-17,Asbestos,BuildSmart,10515.15
2023-11-15,Wood,TheBuildingBlock,9612.35
2023-07-07,Wood,HomeImprovementHQ,9247.37
2023-12-14,Concrete,TheBuildingBlock,10279.85
2023-03-09,Steel,BuildSmart,10623.14
2023-03-25,Asbestos,MaterialMasters,8668.98
2023-09-06,Steel,BuildCo,8726.46
2023-01-10,Steel,HomeImprovementHQ,9494.48
2023-11-06,Wood,TheBuildingBlock,8762.14
2023-11-17,Steel,ConstructionSupply,8089.57
2023-08-13,Concrete,BuildCo,9721.23
2023-11-15,Steel,BuildSmart,9433.85
2023-03-16,Steel,MaterialSource,8518.75
2023-01-19,Concrete,BuildSmart,11456.23
