date,material,supplier,cost
2023-04-16,Asbestos,ConstructionSupply,11853.85
2023-04-23,Plastic,ConstructionSupply,10473.74
2023-06-13,Asbestos,TimberMart,11122.15
2023-05-12,Asbestos,LumberYardInc,8009.91
2023-03-24,Wood,ConstructionSupply,11526.94
2023-03-03,Plastic,TheHardwareStore,11222.94
2023-01-11,Asbestos,TimberMart,11460.99
2023-01-24,Asbestos,ConstructionSupply,10423.31
2023-01-21,Plastic,ConstructionSupply,11872.04
2023-01-17,Gypsum,LumberYardInc,11165.93
2023-04-22,Gypsum,LumberYardInc,10373.69
2023-11-01,Asbestos,TimberlandSupply,11134.94
2023-05-10,Plastic,ConstructionSupply,9833.53
2023-05-07,Asbestos,TimberMart,9973.89
2023-04-15,Wood,TimberMart,10355.06
2023-07-05,Plastic,TheHardwareStore,10892.78
2023-11-02,Wood,TimberMart,9186.03
2023-02-04,Plastic,TimberMart,10513.91
2023-08-12,Gypsum,ConstructionDepot,10850.55
2023-05-23,Wood,ConstructionDepot,9626.24
2023-12-21,Glass,ConstructionDepot,10646.3
2023-12-15,Glass,TheHardwareStore,11353.54
2023-01-18,Plastic,TheHardwareStore,10231.29
2023-10-11,Glass,ConstructionSupply,9474.43
2023-04-09,Gypsum,ConstructionDepot,9618.65
2023-09-22,Asbestos,TimberlandSupply,8420.99
2023-01-08,Wood,TimberlandSupply,11494.85
2023-04-13,Gypsum,ConstructionSupply,9998.16
2023-10-21,Wood,LumberYardInc,11216.26
2023-12-12,Asbestos,ConstructionDepot,11184.51
2023-07-01,Glass,LumberYardInc,8578.77
2023-10-19,Asbestos,TheBuildingBlock,8829.61
2023-08-22,Gypsum,TimberMart,8557.87
2023-05-18,Plastic,TheBuildingBlock,11703.24
2023-12-08,Gypsum,TimberMart,11809.27
2023-10-04,Plastic,ConstructionSupply,9632.83
2023-05-22,Asbestos,TheBuildingBlock,8540.36
2023-10-22,Gypsum,TheHardwareStore,8605.53
2023-08-03,Glass,TheBuildingBlock,10556.41
2023-07-17,Wood,TheHardwareStore,10049.84
2023-01-17,Gypsum,TheBuildingBlock,11785.01
2023-05-13,Gypsum,TimberMart,11430.23
2023-02-12,Glass,TheBuildingBlock,9359.95
2023-09-18,Asbestos,TimberMart,9272.56
2023-08-05,Gypsum,ConstructionSupply,8222.29
2023-02-10,Plastic,TimberMart,8445.72
2023-11-24,Wood,TheBuildingBlock,11913.56
2023-10-20,Wood,TheBuildingBlock,9440.71
2023-12-22,Asbestos,TheHardwareStore,11192.41
2023-11-09,Asbestos,LumberYardInc,9832.07
2023-09-25,Plastic,TheBuildingBlock,10536.17
2023-06-24,Gypsum,ConstructionDepot,9893.53
2023-04-25,Asbestos,TimberMart,9779.28
2023-04-19,Gypsum,TimberlandSupply,11419.72
2023-08-12,Asbestos,TheBuildingBlock,9077.63
2023-04-07,Asbestos,TimberMart,11286.9
2023-02-24,Glass,TimberMart,11581.19
2023-06-20,Glass,ConstructionSupply,9247.36
2023-07-16,Plastic,TheBuildingBlock,10063.5
2023-12-09,Wood,TheBuildingBlock,11049.82
2023-08-07,Gypsum,TimberMart,9606.89
2023-11-12,Glass,LumberYardInc,10328.43
2023-11-07,Wood,ConstructionSupply,11673.33
2023-12-16,Gypsum,TimberMart,11595.05
2023-04-12,Wood,TimberlandSupply,9293.61
2023-04-17,Plastic,ConstructionSupply,11343.17
2023-05-11,Glass,TheBuildingBlock,8720.75
