date,material,supplier,cost
2023-03-06,Gypsum,TheBuildingBlock,10661.56
2023-10-06,Concrete,TimberMart,8158.94
2023-01-18,Steel,TheBuildingBlock,9927.16
2023-06-06,Concrete,MaterialMasters,10925.88
2023-10-06,Steel,MaterialSource,8070.29
2023-08-17,Glass,TheHardwareStore,9514.89
2023-06-13,Concrete,MaterialMasters,11408.81
2023-05-18,Gypsum,MaterialSource,8735.03
2023-09-04,Gypsum,TheHardwareStore,9309.57
2023-08-14,Glass,TheHardwareStore,8801.44
2023-12-10,Steel,TheBuildingBlock,8033.52
2023-12-18,Concrete,TheBuildingBlock,9624.63
2023-09-21,Gypsum,ConstructionDepot,9546.09
2023-12-25,Concrete,TheBuildingBlock,11918.16
2023-06-02,Steel,ConstructionDepot,8131.51
2023-09-14,Asbestos,TheHardwareStore,9254.89
2023-04-05,Concrete,TheHardwareStore,9426.1
2023-03-04,Asbestos,ConstructionDepot,11523.14
2023-06-15,Gypsum,ConstructionDepot,11318.54
2023-08-15,Glass,TimberMart,11407.7
2023-01-07,Concrete,MaterialSource,8368.86
2023-11-05,Gypsum,MaterialMasters,9678.66
2023-12-19,Asbestos,TheBuildingBlock,10621.51
2023-03-23,Glass,ConstructionDepot,11303.17
2023-07-08,Glass,ConstructionDepot,8719.59
2023-06-17,Gypsum,MaterialMasters,10528.53
2023-03-12,Concrete,TheBuildingBlock,9377.9
2023-03-17,Glass,MaterialMasters,11010.47
2023-07-22,Glass,TheHardwareStore,11266.68
2023-03-08,Asbestos,MaterialMasters,9527.02
2023-01-24,Glass,MaterialMasters,11605.98
2023-12-11,Concrete,ConstructionDepot,10615.09
2023-02-16,Gypsum,TheBuildingBlock,8956.68
2023-08-15,Concrete,BuildCo,10938.13
2023-05-19,Asbestos,BuildCo,8871.79
2023-09-22,Gypsum,TheHardwareStore,8404.07
2023-03-25,Concrete,MaterialMasters,10877.28
2023-03-16,Concrete,MaterialMasters,11849.07
2023-02-02,Asbestos,TheHardwareStore,9689.66
2023-11-09,Concrete,TheHardwareStore,10231.63
2023-12-16,Gypsum,TimberMart,9876.11
2023-09-22,Gypsum,TheBuildingBlock,11550.25
2023-01-11,Asbestos,MaterialSource,11647.26
2023-05-01,Concrete,TheHardwareStore,8150.07
