date,material,supplier,cost
2023-09-20,Insulation,ConstructionDepot,9309.07
2023-11-22,Insulation,HomeImprovementHQ,9457.46
2023-07-19,Steel,BuildSmart,9108.85
2023-06-01,Ceramic,MaterialMasters,10842.98
2023-10-19,Insulation,MaterialMasters,8272.33
2023-02-02,Ceramic,BuildSmart,8934.49
2023-08-14,Steel,HomeImprovementHQ,9774.69
2023-10-25,Glass,ConstructionDepot,9233.78
2023-03-09,Wood,ConstructionDepot,10494.71
2023-07-23,Glass,HomeDepotPro,9631.21
2023-08-25,Steel,MaterialMasters,8217.51
2023-01-14,Steel,ConstructionDepot,8803.19
2023-11-01,Glass,TheBuildingBlock,8902.64
2023-10-18,Wood,HomeImprovementHQ,10846.22
2023-04-11,Glass,HomeImprovementHQ,9808.99
2023-08-12,Wood,HomeDepotPro,9183.6
2023-11-09,Glass,HomeDepotPro,8904.49
2023-08-07,Insulation,ConstructionDepot,10849.29
2023-11-18,Wood,MaterialMasters,11177.76
2023-02-15,Wood,HomeDepotPro,9545.85
2023-12-23,Glass,HomeDepotPro,10944.36
2023-10-12,Glass,TheHardwareStore,9784.57
2023-08-10,Steel,TheHardwareStore,8115.67
2023-03-24,Steel,TheHardwareStore,9633.58
2023-02-12,Insulation,MaterialMasters,9815.75
2023-04-11,Insulation,ConstructionDepot,9338.32
2023-02-05,Wood,ConstructionDepot,8060.26
2023-01-12,Steel,TheHardwareStore,11986.77
2023-02-03,Ceramic,HomeImprovementHQ,11343.72
2023-01-08,Wood,HomeDepotPro,10526.23
2023-07-06,Steel,HomeDepotPro,10367.21
2023-06-16,Ceramic,TheBuildingBlock,10152.23
2023-09-03,Glass,TheBuildingBlock,10953.08
2023-07-15,Wood,BuildSmart,8667.28
2023-11-14,Ceramic,MaterialMasters,9032.3
2023-04-19,Glass,HomeDepotPro,11346.99
2023-03-17,Wood,MaterialMasters,8272.01
2023-03-12,Steel,HomeDepotPro,9909.6
2023-11-22,Wood,TheHardwareStore,8910.95
2023-06-02,Insulation,ConstructionDepot,8697.68
2023-12-19,Insulation,BuildSmart,11056.38
2023-03-15,Ceramic,HomeImprovementHQ,11704.0
2023-04-09,Steel,MaterialMasters,11482.57
2023-02-03,Wood,HomeDepotPro,10103.0
2023-10-11,Wood,TheBuildingBlock,9062.64
2023-10-22,Steel,HomeDepotPro,8565.08
2023-04-11,Glass,HomeDepotPro,8069.02
2023-04-13,Insulation,BuildSmart,11894.98
2023-02-04,Insulation,TheBuildingBlock,11130.51
2023-08-01,Insulation,HomeDepotPro,8041.35
2023-10-17,Insulation,MaterialMasters,11440.98
2023-11-22,Wood,HomeImprovementHQ,10418.02
2023-07-07,Glass,HomeDepotPro,8297.39
2023-07-17,Steel,TheHardwareStore,11040.91
2023-01-05,Wood,HomeDepotPro,8342.67
2023-11-09,Steel,BuildSmart,10259.37
2023-11-17,Steel,BuildSmart,9973.45
2023-05-01,Steel,BuildSmart,8745.45
2023-11-08,Steel,ConstructionDepot,11033.38
2023-01-10,Glass,HomeDepotPro,8141.15
2023-05-02,Ceramic,HomeImprovementHQ,9377.41
2023-12-07,Steel,MaterialMasters,9900.71
2023-06-12,Steel,ConstructionDepot,11446.05
2023-01-11,Insulation,HomeImprovementHQ,10234.41
2023-03-19,Insulation,HomeImprovementHQ,8252.86
2023-09-13,Wood,MaterialMasters,8093.52
2023-02-20,Ceramic,BuildSmart,8912.29
