date,material,supplier,cost
2023-02-14,Steel,SupplyCenter,8408.09
2023-01-15,Gypsum,MaterialMasters,8491.49
2023-03-10,Steel,ConstructionDepot,9662.56
2023-08-13,Gypsum,MaterialMasters,10469.67
2023-05-07,Gypsum,BuildCo,11345.69
2023-03-25,Brick,ConstructionDepot,9161.19
2023-11-03,Brick,TheHardwareStore,11533.29
2023-08-08,Wood,BuildSmart,11088.45
2023-10-16,Concrete,ConstructionDepot,8812.93
2023-01-17,Brick,ConstructionSupply,8260.35
2023-03-19,Brick,BuildCo,11650.2
2023-05-01,Steel,BuildSmart,8154.93
2023-04-14,Gypsum,BuildSmart,8338.6
2023-10-18,Brick,TheHardwareStore,8984.19
2023-01-08,Steel,ConstructionDepot,11746.76
2023-09-04,Wood,TheHardwareStore,11904.31
2023-06-21,Gypsum,TheHardwareStore,8942.25
2023-12-18,Concrete,SupplyCenter,9037.26
2023-01-11,Wood,SupplyCenter,9632.06
2023-10-25,Steel,ConstructionSupply,9276.47
2023-06-03,Gypsum,ConstructionSupply,11454.8
2023-01-22,Steel,BuildSmart,9773.95
2023-05-07,Gypsum,ConstructionDepot,9330.35
2023-06-06,Steel,BuildSmart,11854.13
2023-05-09,Steel,MaterialMasters,11994.62
2023-11-10,Concrete,ConstructionDepot,9828.32
2023-05-18,Concrete,TheHardwareStore,10234.75
2023-08-06,Wood,ConstructionDepot,9686.74
2023-09-03,Wood,ConstructionDepot,9676.68
2023-08-20,Concrete,TheHardwareStore,10969.24
2023-02-11,Gypsum,MaterialMasters,8422.19
2023-02-22,Brick,ConstructionDepot,9529.59
2023-01-19,Concrete,ConstructionSupply,10628.34
2023-12-14,Wood,BuildSmart,10793.59
2023-09-25,Brick,MaterialMasters,9941.69
2023-01-02,Steel,BuildSmart,10765.0
2023-10-10,Steel,SupplyCenter,9803.46
2023-09-19,Brick,ConstructionSupply,11978.7
2023-12-02,Brick,BuildSmart,11718.37
2023-03-05,Steel,SupplyCenter,9904.61
2023-11-10,Wood,SupplyCenter,10283.79
