date,material,supplier,cost
2023-06-01,Plastic,TimberMart,11679.42
2023-09-20,Steel,SupplyCenter,8534.73
2023-06-05,Wood,TimberMart,10571.64
2023-06-23,Wood,TimberlandSupply,10646.29
2023-06-09,Wood,MaterialMasters,11780.54
2023-08-18,Gypsum,SupplyCenter,11155.11
2023-12-12,Plastic,MaterialMasters,9138.36
2023-12-24,Steel,HomeDepotPro,11783.17
2023-06-20,Plastic,TheBuildingBlock,9300.39
2023-11-07,Wood,MaterialMasters,8198.81
2023-06-24,Wood,TimberlandSupply,11004.43
2023-06-17,Plastic,TheBuildingBlock,11490.62
2023-08-22,Gypsum,LumberYardInc,9834.95
2023-05-16,Gypsum,TheBuildingBlock,10313.79
2023-06-17,Steel,HomeDepotPro,8735.16
2023-11-08,Plastic,MaterialMasters,9716.84
2023-03-10,Steel,TheBuildingBlock,8893.16
2023-10-03,Wood,HomeDepotPro,10510.06
2023-06-19,Steel,TimberlandSupply,10319.79
2023-09-12,Steel,LumberYardInc,8222.31
2023-03-07,Plastic,TimberlandSupply,10431.06
2023-07-06,Gypsum,TimberlandSupply,10377.79
2023-06-16,Plastic,LumberYardInc,10526.46
2023-08-14,Steel,MaterialMasters,10382.31
2023-01-10,Wood,MaterialMasters,9660.48
2023-11-19,Plastic,TimberlandSupply,10806.51
2023-06-16,Gypsum,HomeDepotPro,11756.8
2023-05-01,Wood,TheBuildingBlock,10478.2
2023-05-10,Asbestos,MaterialMasters,11998.67
2023-05-16,Wood,LumberYardInc,8759.96
2023-02-05,Plastic,SupplyCenter,11344.59
2023-08-02,Asbestos,TimberlandSupply,10093.87
2023-06-16,Wood,TheBuildingBlock,11990.18
2023-02-17,Gypsum,SupplyCenter,9252.34
2023-09-05,Wood,LumberYardInc,10877.6
2023-07-06,Asbestos,SupplyCenter,11998.86
2023-07-14,Plastic,HomeDepotPro,10460.12
2023-06-04,Steel,LumberYardInc,9791.56
2023-09-06,Plastic,HomeDepotPro,11075.77
2023-05-03,Steel,LumberYardInc,8581.78
2023-03-09,Wood,TheBuildingBlock,8949.55
2023-05-15,Gypsum,TimberMart,10965.03
2023-03-17,Plastic,LumberYardInc,9816.55
2023-06-13,Wood,TimberMart,9028.81
2023-02-18,Plastic,HomeDepotPro,10307.27
2023-06-01,Asbestos,HomeDepotPro,8766.15
2023-08-24,Gypsum,HomeDepotPro,8453.33
2023-04-21,Plastic,TheBuildingBlock,11500.18
2023-06-16,Wood,MaterialMasters,9285.03
2023-06-15,Plastic,TheBuildingBlock,8010.32
2023-08-04,Steel,TheBuildingBlock,10036.15
2023-05-01,Gypsum,TimberMart,9910.78
2023-06-08,Wood,TheBuildingBlock,9039.37
2023-07-24,Asbestos,LumberYardInc,8124.03
2023-06-18,Steel,MaterialMasters,9407.4
2023-09-05,Gypsum,TimberMart,10733.33
2023-01-05,Gypsum,TimberlandSupply,9846.73
2023-08-22,Gypsum,MaterialMasters,11300.93
2023-12-04,Asbestos,MaterialMasters,10746.35
2023-07-21,Wood,MaterialMasters,11825.95
2023-05-15,Asbestos,TheBuildingBlock,8854.99
2023-02-14,Wood,SupplyCenter,8469.2
2023-06-19,Gypsum,TimberMart,10205.75
2023-06-14,Plastic,MaterialMasters,10286.17
2023-10-04,Gypsum,SupplyCenter,11593.19
2023-09-02,Plastic,LumberYardInc,9546.64
2023-03-20,Plastic,TimberlandSupply,8178.19
2023-05-02,Asbestos,TimberlandSupply,10061.21
2023-11-03,Asbestos,TimberMart,9979.49
2023-07-05,Steel,TimberlandSupply,9010.58
2023-12-15,Asbestos,TimberlandSupply,10686.65
2023-03-21,Asbestos,MaterialMasters,9595.59
2023-03-12,Plastic,TimberlandSupply,10529.84
2023-06-08,Wood,TheBuildingBlock,8160.23
2023-12-05,Plastic,SupplyCenter,10710.52
2023-08-13,Asbestos,TheBuildingBlock,8976.46
2023-05-06,Plastic,MaterialMasters,11810.9
2023-07-11,Plastic,MaterialMasters,11901.49
2023-10-23,Asbestos,HomeDepotPro,11397.41
2023-11-01,Steel,TimberMart,10503.96
2023-07-24,Steel,SupplyCenter,9100.55
2023-10-06,Gypsum,LumberYardInc,9284.27
2023-03-17,Steel,TimberMart,11566.77
2023-12-24,Steel,TimberlandSupply,10787.19
2023-09-09,Plastic,LumberYardInc,9090.38
2023-06-02,Plastic,TimberlandSupply,10008.53
2023-02-10,Asbestos,SupplyCenter,8262.79
2023-06-07,Wood,HomeDepotPro,8876.84
2023-10-24,Asbestos,LumberYardInc,9437.31
2023-05-24,Plastic,HomeDepotPro,8772.12
2023-05-01,Steel,MaterialMasters,8198.61
2023-07-18,Wood,TimberMart,8188.01
2023-03-02,Plastic,TimberlandSupply,8419.52
2023-09-09,Gypsum,SupplyCenter,8921.19
2023-12-12,Steel,LumberYardInc,9948.57
2023-12-12,Plastic,HomeDepotPro,8871.27
2023-02-11,Steel,TimberlandSupply,9015.38
2023-10-06,Plastic,LumberYardInc,11946.21
2023-06-23,Gypsum,SupplyCenter,9013.68
2023-06-08,Plastic,TimberlandSupply,8001.04
2023-12-15,Steel,TheBuildingBlock,11587.84
2023-06-08,Plastic,MaterialMasters,9358.64
2023-11-08,Steel,TheBuildingBlock,9474.11
2023-01-21,Asbestos,MaterialMasters,9720.91
2023-06-18,Wood,SupplyCenter,9682.76
2023-11-25,Steel,TimberMart,11305.68
2023-06-16,Wood,TheBuildingBlock,10110.49
2023-07-22,Plastic,TheBuildingBlock,9518.07
2023-12-02,Asbestos,SupplyCenter,9053.08
2023-12-07,Plastic,TimberMart,10415.67
2023-09-23,Plastic,TimberMart,11374.88
2023-08-06,Asbestos,MaterialMasters,11909.49
2023-09-03,Steel,TheBuildingBlock,8367.17
2023-04-22,Steel,LumberYardInc,11315.69
2023-01-12,Steel,LumberYardInc,11986.96
2023-02-03,Asbestos,MaterialMasters,11483.18
2023-06-14,Wood,SupplyCenter,8976.89
2023-06-22,Wood,MaterialMasters,10395.88
2023-01-04,Plastic,LumberYardInc,9060.46
2023-10-19,Plastic,TimberlandSupply,10389.09
2023-01-23,Steel,LumberYardInc,9667.7
2023-05-25,Steel,TimberMart,10389.15
2023-10-19,Wood,MaterialMasters,9224.18
2023-06-12,Steel,SupplyCenter,9956.07
2023-11-18,Steel,TimberMart,11728.41
2023-06-24,Plastic,TheBuildingBlock,9696.01
2023-05-09,Plastic,TimberMart,8431.97
2023-02-12,Wood,TheBuildingBlock,9268.08
2023-09-10,Plastic,TimberlandSupply,11542.43
2023-09-20,Plastic,MaterialMasters,9788.66
2023-06-23,Plastic,LumberYardInc,8287.38
2023-09-03,Plastic,LumberYardInc,10106.16
2023-02-11,Gypsum,TimberMart,11512.76
2023-08-14,Plastic,LumberYardInc,9490.93
2023-11-24,Steel,LumberYardInc,10493.49
2023-06-04,Plastic,SupplyCenter,10362.11
2023-06-25,Gypsum,TheBuildingBlock,8099.86
2023-07-12,Steel,HomeDepotPro,11307.72
2023-05-04,Wood,HomeDepotPro,11448.16
2023-11-14,Plastic,TheBuildingBlock,9576.18
2023-07-05,Steel,HomeDepotPro,11994.17
2023-06-01,Steel,TheBuildingBlock,11626.0
2023-02-21,Asbestos,HomeDepotPro,11167.72
2023-04-19,Wood,TheBuildingBlock,11584.05
2023-06-01,Gypsum,TimberlandSupply,9122.03
2023-07-06,Steel,LumberYardInc,10163.86
2023-11-06,Steel,TimberMart,8330.46
2023-09-21,Wood,TimberlandSupply,10069.29
2023-03-10,Steel,TimberMart,9804.31
2023-07-07,Wood,SupplyCenter,11325.8
2023-06-21,Wood,TimberMart,11686.2
2023-02-14,Plastic,LumberYardInc,8333.24
2023-07-17,Wood,SupplyCenter,11769.17
2023-02-05,Plastic,MaterialMasters,10958.71
2023-07-21,Plastic,HomeDepotPro,10242.62
2023-06-01,Gypsum,TimberMart,8795.42
2023-12-15,Steel,HomeDepotPro,10722.11
2023-07-17,Plastic,MaterialMasters,10707.44
2023-02-09,Steel,SupplyCenter,8273.18
2023-07-09,Gypsum,MaterialMasters,10449.0
2023-11-18,Gypsum,TheBuildingBlock,10090.68
2023-06-13,Steel,HomeDepotPro,11302.98
2023-10-20,Steel,TheBuildingBlock,10740.83
2023-06-17,Plastic,TimberlandSupply,10045.99
2023-03-10,Asbestos,MaterialMasters,8926.05
2023-09-17,Wood,TimberlandSupply,9756.06
2023-08-10,Wood,SupplyCenter,9471.43
2023-07-24,Gypsum,TimberlandSupply,10551.11
2023-07-13,Plastic,SupplyCenter,11058.94
2023-07-24,Wood,LumberYardInc,11364.88
2023-06-19,Plastic,HomeDepotPro,8827.24
2023-12-06,Wood,HomeDepotPro,8154.37
2023-05-07,Plastic,TheBuildingBlock,11341.43
2023-02-17,Steel,MaterialMasters,8080.87
2023-02-03,Plastic,SupplyCenter,8806.95
2023-06-15,Steel,TimberlandSupply,11989.2
2023-08-02,Plastic,SupplyCenter,10333.67
2023-12-24,Asbestos,TimberlandSupply,10536.32
2023-09-09,Asbestos,SupplyCenter,11243.52
2023-09-01,Steel,MaterialMasters,9653.38
2023-09-05,Wood,TheBuildingBlock,11174.79
2023-02-13,Asbestos,HomeDepotPro,11861.37
2023-06-13,Gypsum,MaterialMasters,11982.07
2023-03-15,Asbestos,LumberYardInc,8161.62
2023-06-11,Asbestos,TheBuildingBlock,11052.16
2023-02-21,Wood,MaterialMasters,10130.54
2023-11-21,Plastic,TheBuildingBlock,9396.59
2023-01-25,Gypsum,TimberlandSupply,8376.84
2023-01-21,Wood,HomeDepotPro,11230.01
2023-10-03,Wood,MaterialMasters,10216.29
2023-07-21,Wood,LumberYardInc,8655.62
2023-09-10,Gypsum,MaterialMasters,11479.92
2023-05-06,Steel,TimberlandSupply,9176.86
2023-11-21,Plastic,TimberlandSupply,8055.14
2023-05-10,Plastic,LumberYardInc,11030.02
2023-06-14,Plastic,SupplyCenter,10627.71
2023-05-20,Plastic,HomeDepotPro,10254.11
2023-08-07,Asbestos,TimberlandSupply,10812.9
2023-10-21,Gypsum,HomeDepotPro,9326.95
2023-06-13,Steel,TimberlandSupply,11648.5
2023-03-11,Steel,HomeDepotPro,9162.47
2023-05-14,Steel,TheBuildingBlock,11553.28
2023-05-09,Asbestos,TimberlandSupply,9824.23
2023-06-17,Asbestos,SupplyCenter,9108.02
2023-03-18,Asbestos,TimberMart,11709.59
2023-06-08,Gypsum,HomeDepotPro,10722.68
2023-11-24,Gypsum,TimberlandSupply,10018.16
2023-04-21,Gypsum,LumberYardInc,8282.98
2023-12-06,Steel,TheBuildingBlock,9496.23
2023-06-25,Plastic,MaterialMasters,10485.36
2023-05-20,Steel,SupplyCenter,11064.8
2023-06-20,Wood,MaterialMasters,8990.41
2023-06-08,Steel,MaterialMasters,10936.93
2023-11-10,Gypsum,TheBuildingBlock,9286.76
2023-06-17,Wood,MaterialMasters,8466.8
2023-08-11,Plastic,MaterialMasters,11023.69
2023-10-19,Wood,HomeDepotPro,9058.24
2023-06-14,Steel,TimberlandSupply,11819.53
2023-05-21,Plastic,SupplyCenter,11584.18
2023-07-15,Wood,TheBuildingBlock,11420.65
2023-01-14,Asbestos,TimberlandSupply,11340.62
2023-01-23,Plastic,LumberYardInc,8698.85
2023-09-22,Steel,HomeDepotPro,11775.15
2023-07-04,Plastic,TimberMart,10210.91
2023-01-01,Gypsum,HomeDepotPro,10959.18
2023-07-08,Wood,TheBuildingBlock,10279.6
2023-06-09,Asbestos,MaterialMasters,9495.96
2023-05-01,Wood,TheBuildingBlock,9822.2
2023-06-12,Gypsum,HomeDepotPro,11818.34
2023-11-02,Asbestos,TimberlandSupply,11807.7
2023-09-04,Steel,HomeDepotPro,8064.97
